,Unnamed: 0,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hotel Name
458,458,Sabha,27.0377,14.4283,76.35,18,0,4.32,LY,1613224949,فندق المواجيد
469,469,Honiara,-9.4333,159.95,78.55,83,100,5.57,SB,1613224950,Coral Sea Resort & Casino
471,471,Kingaroy,-26.5333,151.8333,77.0,61,90,4.61,AU,1613224950,ROOM Motels
474,474,Neuquén,-38.9516,-68.0591,77.0,53,0,2.3,AR,1613224754,Hilton Garden Inn Neuquen
478,478,Archidona,37.0965,-4.3887,68.0,46,90,1.01,ES,1613224950,Hotel Escua
479,479,Pyinmana,19.7333,96.2167,70.41,37,11,1.83,MM,1613224950,
485,485,Barra de Tecoanapa,16.5167,-98.75,71.92,78,13,5.35,MX,1613224950,Hotel Garapacho
486,486,Narganá,9.4428,-78.5906,79.79,70,80,3.13,PA,1613224951,
488,488,George,-33.963,22.4617,78.8,78,75,10.36,ZA,1613224951,Protea Hotel by Marriott George King George
489,489,Manokwari,-0.8667,134.0833,78.62,87,100,11.05,ID,1613224951,Swiss Belhotel Manokwari
493,493,Candelaria,13.9311,121.4233,77.0,87,31,5.99,PH,1613224951,Grand Central Hotel
497,497,Pontianak,-0.0333,109.3333,78.8,94,40,5.75,ID,1613224951,Orchardz Hotel Ayani
499,499,Hualmay,-11.0964,-77.6139,76.32,59,37,8.12,PE,1613224951,Kajaca Suite Hotel
504,504,Puerto Colombia,10.9878,-74.9547,78.8,83,20,5.75,CO,1613224952,Hotel El Emigrante
510,510,Ginir,7.1333,40.7,76.75,26,97,10.8,ET,1613224952,Bale Ginir Tourist Hotel
514,514,Ixtapa,20.7,-105.2,66.0,88,90,3.44,MX,1613224952,"The Westin Resort & Spa, Puerto Vallarta"
518,518,Acapulco de Juárez,16.8634,-99.8901,69.8,88,1,3.44,MX,1613224767,Hotel Emporio Acapulco
520,520,Biak,-0.9131,122.8766,76.84,80,100,1.19,ID,1613224952,
521,521,San Javier,37.8063,-0.8374,71.6,26,0,9.22,ES,1613224952,Hotel Trabuco
523,523,Thai Binh,20.45,106.3333,66.2,77,0,4.61,VN,1613224953,ThaiBinh Petro Hotel
526,526,Likasi,-10.9814,26.7333,76.08,84,4,5.35,CD,1613224953,Hotel New Terminus
528,528,Sibolga,1.7427,98.7792,79.5,74,65,2.53,ID,1613224953,Hotel Wisata Indah
529,529,Khorramshahr,30.4397,48.1664,78.8,25,0,9.22,IR,1613224953,Hostel
